iter	Logloss
0	0.6168225783
1	0.559216038
2	0.5097009407
3	0.4732454228
4	0.4463904954
5	0.4259883875
6	0.4095429473
7	0.3939997001
8	0.3815399207
9	0.3709202357
10	0.3622900135
11	0.3565282539
12	0.3522776866
13	0.3488490599
14	0.3435276034
15	0.339508411
16	0.3364207299
17	0.3328417761
18	0.3296809822
19	0.3269157751
20	0.3251168955
21	0.3233599061
22	0.3218756673
23	0.3203275817
24	0.3194430981
25	0.3183167537
26	0.3175113176
27	0.3168110764
28	0.3156825927
29	0.3145656428
30	0.3131098475
31	0.3120837608
32	0.3110052836
33	0.3100397139
34	0.3093892462
35	0.308890754
36	0.3081206118
37	0.3072397167
38	0.3057993029
39	0.3052250332
40	0.3048331642
41	0.3042311938
42	0.3037424937
43	0.3033237313
44	0.3029229865
45	0.3023456571
46	0.3016168796
47	0.3012737481
48	0.300738873
49	0.3002352898
50	0.2999408044
51	0.2992749769
52	0.2989081301
53	0.2982607028
54	0.2980366209
55	0.2977048827
56	0.297388451
57	0.2970894133
58	0.2968633485
59	0.2967408773
60	0.2965980694
61	0.2957567717
62	0.2955515744
63	0.2952841817
64	0.2950367861
65	0.2947333351
66	0.2945431798
67	0.2937987839
68	0.2935960203
69	0.2933072351
70	0.2931047865
71	0.2928718481
72	0.292733147
73	0.2922816123
74	0.2920726784
75	0.291865019
76	0.2917272224
77	0.2915334355
78	0.2913497522
79	0.2910376922
80	0.2904366868
81	0.2902988584
82	0.2897404472
83	0.2895914443
84	0.2895103565
85	0.2893561626
86	0.2890145343
87	0.2888170878
88	0.2886329911
89	0.2884627761
90	0.2884196351
91	0.2882990594
92	0.2877246832
93	0.2874613261
94	0.2873589579
95	0.2871372882
96	0.2869558278
97	0.2868490643
98	0.2867027034
99	0.2863689913
100	0.286101642
101	0.2859920356
102	0.285926892
103	0.2858555842
104	0.2857335387
105	0.2855944879
106	0.2855276145
107	0.2851715423
108	0.2849816966
109	0.2848719376
110	0.2847763951
111	0.2846583832
112	0.2845543983
113	0.2843975851
114	0.2842971579
115	0.284195549
116	0.2841295518
117	0.2840738076
118	0.2837312815
119	0.2833949548
120	0.2832811726
121	0.2831436167
122	0.2829632006
123	0.2828298952
124	0.282697991
125	0.2825228103
126	0.2824465468
127	0.28237552
128	0.2816801847
129	0.2813829501
130	0.2812737428
131	0.2812136407
132	0.2809656725
133	0.2807821025
134	0.2806891729
135	0.2805222231
136	0.2803361709
137	0.2801948475
138	0.2801258325
139	0.2800605943
140	0.2799639093
141	0.2798257483
142	0.2795896018
143	0.2794198178
144	0.2791689665
145	0.2787386866
146	0.2783241628
147	0.2783018489
148	0.2775615901
149	0.277438052
150	0.2771558972
151	0.2771107183
152	0.2769770069
153	0.2765782434
154	0.2764427773
155	0.2763084884
156	0.2762209137
157	0.2761333999
158	0.276078288
159	0.2759433444
160	0.2756081885
161	0.2754796013
162	0.2754452502
163	0.2753152347
164	0.2750445463
165	0.2749301664
166	0.2748940606
167	0.2747635395
168	0.2745693985
169	0.2745410002
170	0.2743492518
171	0.2741537749
172	0.2738384032
173	0.2737458281
174	0.2735955311
175	0.2734857378
176	0.2733649818
177	0.2732947473
178	0.2731591101
179	0.2730681865
180	0.2729093811
181	0.2728609865
182	0.2727397079
183	0.2727123434
184	0.2725791911
185	0.2724578944
186	0.2724366469
187	0.2724053532
188	0.2722728177
189	0.2722520221
190	0.2722169428
191	0.2719694113
192	0.2718970619
193	0.2718049716
194	0.2717343697
195	0.2717129858
196	0.2715889719
197	0.2715143131
198	0.2714579694
199	0.2714362672
