iter	Passed	Remaining
0	16	3331
1	53	5307
2	71	4694
3	84	4126
4	96	3774
5	110	3567
6	125	3449
7	139	3343
8	156	3325
9	169	3215
10	181	3116
11	196	3085
12	219	3163
13	278	3693
14	325	4020
15	366	4219
16	415	4467
17	456	4615
18	506	4826
19	553	4979
20	598	5101
21	633	5122
22	655	5044
23	676	4963
24	695	4865
25	719	4813
26	738	4734
27	757	4651
28	771	4546
29	786	4457
30	802	4372
31	818	4295
32	834	4223
33	848	4142
34	862	4064
35	879	4005
36	893	3936
37	910	3882
38	934	3857
39	948	3793
40	962	3730
41	975	3669
42	986	3603
43	1004	3560
44	1026	3534
45	1051	3520
46	1075	3499
47	1096	3473
48	1119	3450
49	1134	3404
50	1153	3370
51	1171	3333
52	1185	3288
53	1198	3240
54	1212	3195
55	1225	3150
56	1242	3116
57	1269	3108
58	1284	3070
59	1300	3033
60	1320	3008
61	1335	2972
62	1353	2944
63	1369	2909
64	1383	2874
65	1400	2843
66	1412	2804
67	1430	2777
68	1445	2745
69	1461	2713
70	1481	2691
71	1495	2658
72	1508	2624
73	1525	2596
74	1539	2565
75	1553	2533
76	1567	2503
77	1583	2476
78	1598	2448
79	1611	2417
80	1635	2402
81	1653	2378
82	1666	2349
83	1683	2324
84	1699	2299
85	1713	2270
86	1727	2243
87	1749	2226
88	1769	2207
89	1786	2184
90	1802	2159
91	1819	2136
92	1842	2119
93	1861	2098
94	1879	2077
95	1901	2060
96	1917	2035
97	1937	2016
98	1960	2000
99	1974	1974
100	1990	1951
101	2006	1927
102	2020	1903
103	2033	1877
104	2048	1853
105	2063	1830
106	2077	1805
107	2092	1782
108	2105	1757
109	2119	1733
110	2130	1708
111	2145	1686
112	2160	1663
113	2175	1640
114	2189	1618
115	2209	1599
116	2225	1578
117	2239	1556
118	2269	1544
119	2284	1522
120	2298	1500
121	2312	1478
122	2325	1455
123	2343	1436
124	2356	1413
125	2369	1391
126	2384	1370
127	2401	1350
128	2415	1329
129	2429	1308
130	2440	1285
131	2453	1264
132	2468	1243
133	2481	1222
134	2496	1202
135	2511	1181
136	2525	1161
137	2540	1141
138	2553	1120
139	2567	1100
140	2579	1079
141	2595	1060
142	2608	1039
143	2625	1021
144	2640	1001
145	2656	982
146	2671	963
147	2685	943
148	2701	924
149	2722	907
150	2754	893
151	2771	875
152	2791	857
153	2822	842
154	2843	825
155	2864	807
156	2886	790
157	2905	772
158	2921	753
159	2940	735
160	2961	717
161	2985	700
162	3014	684
163	3083	676
164	3183	675
165	3246	664
166	3310	654
167	3388	645
168	3435	630
169	3489	615
170	3526	598
171	3565	580
172	3597	561
173	3627	542
174	3658	522
175	3682	502
176	3701	480
177	3719	459
178	3739	438
179	3759	417
180	3778	396
181	3791	375
182	3809	353
183	3828	332
184	3862	313
185	3880	292
186	3894	270
187	3907	249
188	3920	228
189	3932	206
190	3945	185
191	3964	165
192	3980	144
193	4080	126
194	4116	105
195	4137	84
196	4155	63
197	4169	42
198	4188	21
199	4203	0
